danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,added_at,albumid,artists,genre,imagehref,trackName
0.84,0.344,5,-8.613,0,0.0374,0.456,0.0000336,0.35,0.526,111.994,audio_features,630Ug0XtmhhFvAKo0PNuEI,spotify:track:630Ug0XtmhhFvAKo0PNuEI,https://api.spotify.com/v1/tracks/630Ug0XtmhhFvAKo0PNuEI,https://api.spotify.com/v1/audio-analysis/630Ug0XtmhhFvAKo0PNuEI,199227,4,2019-10-24T13:53:07Z,4iLi0ZWdcYtCZvsXZHTRLx,UMI,alternative r&b,https://i.scdn.co/image/ab67616d0000b2732b2fe53607e28f85e928fd14,Remember Me
0.57,0.433,0,-11.764,1,0.0252,0.00422,0.762,0.153,0.128,165.937,audio_features,009G971wsvioMi84zENJax,spotify:track:009G971wsvioMi84zENJax,https://api.spotify.com/v1/tracks/009G971wsvioMi84zENJax,https://api.spotify.com/v1/audio-analysis/009G971wsvioMi84zENJax,243973,4,2019-10-17T16:41:14Z,0dpT4eWbisGVXyLkA3NBwc,Still Corners,chillwave,https://i.scdn.co/image/ab67616d0000b273e85609e128e0a892edd901ff,Sad Movies
0.513,0.379,11,-10.219,0,0.034,0.575,0.297,0.0895,0.299,85.017,audio_features,0wCWiSuGWwdS6DuKws9SOD,spotify:track:0wCWiSuGWwdS6DuKws9SOD,https://api.spotify.com/v1/tracks/0wCWiSuGWwdS6DuKws9SOD,https://api.spotify.com/v1/audio-analysis/0wCWiSuGWwdS6DuKws9SOD,200560,4,2019-10-17T13:58:16Z,3MFTbUnA8C9T6KCBb0gpH5,The Walters,chicago indie,https://i.scdn.co/image/ab67616d0000b273acf9c94f73fede70cca51d5e,Life
0.67,0.407,7,-12.849,0,0.0366,0.144,0.0334,0.0838,0.248,130.991,audio_features,7hfgzxvcd8mKImN7Goast8,spotify:track:7hfgzxvcd8mKImN7Goast8,https://api.spotify.com/v1/tracks/7hfgzxvcd8mKImN7Goast8,https://api.spotify.com/v1/audio-analysis/7hfgzxvcd8mKImN7Goast8,196031,4,2019-10-15T07:39:21Z,2NBHJXmeASMfyf8jwKY5Y0,Saint Cava,scandinavian r&b,https://i.scdn.co/image/ab67616d0000b273448b6ef5b133e544e83f814c,Deeper
0.583,0.717,0,-5.212,0,0.0266,0.0196,0.745,0.0766,0.673,139.995,audio_features,5F3DM6Iz4axGiLUhxvQLs1,spotify:track:5F3DM6Iz4axGiLUhxvQLs1,https://api.spotify.com/v1/tracks/5F3DM6Iz4axGiLUhxvQLs1,https://api.spotify.com/v1/audio-analysis/5F3DM6Iz4axGiLUhxvQLs1,140643,4,2019-10-12T16:36:41Z,6ANwwQBHuTl6Hjf5IK4ctf,Dream, Ivory,undefined,https://i.scdn.co/image/ab67616d0000b273e2f88445df9cb887332ed9ba,welcome and goodbye
0.656,0.752,1,-4.065,1,0.0273,0.529,0.614,0.196,0.391,120.015,audio_features,4DkPtXp0FNi6fFmgbIPNwH,spotify:track:4DkPtXp0FNi6fFmgbIPNwH,https://api.spotify.com/v1/tracks/4DkPtXp0FNi6fFmgbIPNwH,https://api.spotify.com/v1/audio-analysis/4DkPtXp0FNi6fFmgbIPNwH,180249,4,2019-10-11T14:05:47Z,4ve2bOGkqWp0AgSqNH0WiV,Acid Ghost,indie garage rock,https://i.scdn.co/image/ab67616d0000b273f09e363762af3a7c546624a1,He's Just Like the Others
0.745,0.448,1,-13.681,0,0.0469,0.444,0.788,0.111,0.647,89.984,audio_features,6RCab4XVZFoZIStoxprh0T,spotify:track:6RCab4XVZFoZIStoxprh0T,https://api.spotify.com/v1/tracks/6RCab4XVZFoZIStoxprh0T,https://api.spotify.com/v1/audio-analysis/6RCab4XVZFoZIStoxprh0T,220147,4,2019-09-24T02:32:12Z,4MGmFIXS3InN07DKQ1atSQ,JORDANN,undefined,https://i.scdn.co/image/ab67616d0000b273f7b711fcbb21d0f0e801074c,Business Solutions
0.65,0.195,5,-12.569,1,0.0482,0.695,0.0000126,0.0851,0.363,122.908,audio_features,1wcAKUbAyMRy0uSsFbyiCv,spotify:track:1wcAKUbAyMRy0uSsFbyiCv,https://api.spotify.com/v1/tracks/1wcAKUbAyMRy0uSsFbyiCv,https://api.spotify.com/v1/audio-analysis/1wcAKUbAyMRy0uSsFbyiCv,244261,3,2019-09-23T19:30:30Z,6hGu9RB3CDDdorBicf4dMo,Billie Marten,british singer-songwriter,https://i.scdn.co/image/ab67616d0000b27363b01b526ec3cfaa01e52045,Mice
0.908,0.221,8,-13.182,1,0.0612,0.28,0.342,0.104,0.329,105.044,audio_features,75DDpeF0zWOD2eRaebvHVY,spotify:track:75DDpeF0zWOD2eRaebvHVY,https://api.spotify.com/v1/tracks/75DDpeF0zWOD2eRaebvHVY,https://api.spotify.com/v1/audio-analysis/75DDpeF0zWOD2eRaebvHVY,150857,4,2019-09-23T19:20:43Z,0DgYIw2wa3BgLKmDveqwW2,Jye,bedroom pop,https://i.scdn.co/image/ab67616d0000b2735399b0ebb68561136cf7b722,You on My Mind
0.767,0.33,5,-12.559,0,0.0429,0.76,0.758,0.597,0.195,121.901,audio_features,5Q364CAQXtG9NhZl8hmlZj,spotify:track:5Q364CAQXtG9NhZl8hmlZj,https://api.spotify.com/v1/tracks/5Q364CAQXtG9NhZl8hmlZj,https://api.spotify.com/v1/audio-analysis/5Q364CAQXtG9NhZl8hmlZj,150492,3,2019-09-18T04:27:33Z,5X7EEednG5uaqNCssA2kjG,matt mcwaters,undefined,https://i.scdn.co/image/ab67616d0000b273e9070d9ce5fc1b9128a53ef2,where
